UB 1016 x 305 x 415,415.0,1020.0,304.0,26.0,46.0,853000,21700,16700,1430,529
UB 914 x 305 x 474,474.0,971.0,316.0,30.0,54.1,886000,28700,18200,1810,604
UB 1016 x 305 x 438,438.0,1026.0,305.0,26.9,49.0,910000,23400,17700,1540,556
UB 914 x 305 x 521,521.0,981.0,319.0,33.0,58.9,982000,32100,20000,2020,664
UB 1016 x 305 x 494 ,494.0,1036.0,309.0,31.0,54.0,1028000,26800,19800,1740,629
UB 914 x 305 x 576,576.0,993.0,322.0,36.1,65.0,1102000,36500,22200,2270,733
UB 1016 x 305 x 584,584.0,1056.0,314.0,36.0,64.0,1246000,33400,23600,2130,744
UC 152 x 152 x 23,23.0,152.4,152.2,5.8,6.8,1250,400,164,52.6,29.2
UC 152 x 152 x 30,30.0,157.6,152.9,6.5,9.4,1750,560,222,73.3,38.3
UC 152 x 152 x 37,37.0,161.8,154.4,8.0,11.5,2210,706,273,91.5,47.1
UC 152 x 152 x 44,44.0,166.0,155.9,9.5,13.6,2700,860,326,110,56.1
UC 152 x 152 x 51,51.2,170.2,157.4,11.0,15.7,3230,1020,379,130,65.2
UC 203 x 203 x 46,46.1,203.2,203.6,7.2,11.0,4570,1550,450,152,58.7
UC 203 x 203 x 52,52.0,206.2,204.3,7.9,12.5,5260,1780,510,174,66.3
UC 203 x 203 x 60,60.0,209.6,205.8,9.4,14.2,6120,2060,584,201,76.4
UC 203 x 203 x 71,71.0,215.8,206.4,10.0,17.3,7620,2540,706,246,90.4
UC 203 x 203 x 86,86.1,222.2,209.1,12.7,20.5,9450,3130,850,299,110
UC 203 x 203 x 100,99.6,228.6,210.3,14.5,23.7,11300,3680,988,350,127
UC 254 x 254 x 73,73.1,254.1,254.6,8.6,14.2,11400,3910,898,307,93.1
UC 203 x 203 x 113,113.5,235.0,212.1,16.3,26.9,13300,4290,1130,404,145
UC 254 x 254 x 89,88.9,260.3,256.3,10.3,17.3,14300,4860,1100,379,113
UC 203 x 203 x 127,127.5,241.4,213.9,18.1,30.1,15400,4920,1280,460,162
UC 254 x 254 x 107,107.1,266.7,258.8,12.8,20.5,17500,5930,1310,458,136
UC 305 x 305 x 97,96.9,307.9,305.3,9.9,15.4,22200,7310,1450,479,123
UC 254 x 254 x 132,132.0,276.3,261.3,15.3,25.3,22500,7530,1630,576,168
UC 305 x 305 x 118,117.9,314.5,307.4,12.0,18.7,27700,9060,1760,589,150
UC 254 x 254 x 167,167.1,289.1,265.2,19.2,31.7,30000,9870,2080,744,213
UC 305 x 305 x 137,136.9,320.5,309.2,13.8,21.7,32800,10700,2050,692,174
UC 305 x 305 x 158,158.1,327.1,311.2,15.8,25.0,38700,12600,2370,808,201
UC 356 x 368 x 129,129.0,355.6,368.6,10.4,17.5,40200,14600,2260,793,164
UC 356 x 368 x 153,152.9,362.0,370.5,12.3,20.7,48600,17600,2680,948,195
UC 305 x 305 x 198,198.1,339.9,314.5,19.1,31.4,50900,16300,3000,1040,252
UC 356 x 368 x 177,177.0,368.2,372.6,14.4,23.8,57100,20500,3100,1100,226
UC 305 x 305 x 240,240.0,352.5,318.4,23.0,37.7,64200,20300,3640,1280,306
UC 356 x 368 x 202,201.9,374.6,374.7,16.5,27.0,66300,23700,3540,1260,257
UC 305 x 305 x 283,282.9,365.3,322.2,26.8,44.1,78900,24600,4320,1530,360
UC 356 x 406 x 235,235.1,381.0,394.8,18.4,30.2,79100,31000,4150,1570,299
UC 356 x 406 x 287,287.1,393.6,399.0,22.6,36.5,99900,38700,5070,1940,366
UC 356 x 406 x 340,339.9,406.4,403.0,26.6,42.9,123000,46900,6030,2330,433
UC 356 x 406 x 393,393.0,419.0,407.0,30.6,49.2,147000,55400,7000,2720,501
UC 356 x 406 x 467,467.0,436.6,412.2,35.8,58.0,183000,67800,8380,3290,595
UC 356 x 406 x 509,509.0,446.0,416.0,39.1,62.7,204000,75400,9170,3620,649
UC 356 x 406 x 551,551.0,455.6,418.5,42.1,67.5,227000,82700,9960,3950,702
UC 356 x 406 x 592,592.0,465.0,421.0,45.0,72.3,250000,90200,10800,4280,755
UC 356 x 406 x 634,633.9,474.6,424.0,47.6,77.0,275000,98100,11600,4630,808
UC 356 x 406 x 677,677.0,483.0,428.0,51.2,81.5,300000,107000,12400,4990,863
UC 356 x 406 x 744,744.0,498.0,432.0,55.6,88.9,342000,120000,13700,5550,948
UC 356 x 406 x 818,818.0,514.0,437.0,60.5,97.0,392000,136000,15300,6200,1043
UC 356 x 406 x 900,900.0,531.0,442.0,65.9,106.0,450000,153000,17000,6940,1149
UC 356 x 406 x 990,990.0,550.0,448.0,71.9,115.0,519000,173000,18900,7740,1262
UC 356 x 406 x 1086,1086.0,569.0,454.0,78.0,125.0,596000,196000,20900,8640,1386
UC 356 x 406 x 1202,1202.0,580.0,471.0,95.0,130.0,664000,229000,22900,9710,1531
UC 356 x 406 x 1299,1299.0,600.0,476.0,100.0,140.0,755000,254000,25200,10700,1655
PFC 100 x 50,10.2,100,50,5.0,8.5,208,32.3,41.5,9.89,13.0
PFC 125 x 65,14.8,125,65,5.5,9.5,483,80,77.3,18.8,18.8
PFC 150 x 75,17.9,150,75,5.5,10.0,861,131,115,26.6,22.8
PFC 150 x 90,23.9,150,90,6.5,12.0,1160,253,155,44.4,30.4
PFC 180 x 75,20.3,180,75,6.0,10.5,1370,146,152,28.8,25.9
PFC 180 x 90,26.1,180,90,6.5,12.5,1820,277,202,47.4,33.2
PFC 200 x 75,23.4,200,75,6.0,12.5,1960,170,196,33.8,29.9
PFC 200 x 90,29.7,200,90,7.0,14.0,2520,314,252,53.4,37.9
PFC 230 x 75,25.7,230,75,6.5,12.5,2750,181,239,34.8,32.7
PFC 230 x 90,32.2,230,90,7.5,14.0,3520,334,306,55,41.0
PFC 260 x 75,27.6,260,75,7.0,12.0,3620,185,278,34.4,35.1
PFC 260 x 90,34.8,260,90,8.0,14.0,4730,353,364,56.3,44.4
PFC 300 x 90,41.4,300,90,9.0,15.5,7220,404,481,63.1,52.7
PFC 300 x 100,45.5,300,100,9.0,16.5,8230,568,549,81.7,58.0
PFC 380 x 100,54.0,380,100,9.5,17.5,15000,643,791,89.2,68.7
PFC 430 x 100,64.4,430,100,11.0,19.0,21900,722,1020,97.9,82.1
